id,country,league,season,date,time,home_team,away_team,home_goals,away_goals,result,psc_home,psc_draw,psc_away,max_ch,max_cd,home_avg_scored,home_avg_conceded,away_avg_scored,away_avg_conceded,diff_avg_scored,diff_avg_conceded,result_code,home_sequence,away_sequence
18,Mexico,Liga MX,2012/2013,2012-08-04,01:00,Santos Laguna,Puebla,2,2,D,1.41,5.01,8.6,1.5,5.01,2.0,1.0,0.0,2.0,2.0,-1.0,1,[2 0 1 1 0],[0 1 0 1 1]
19,Mexico,Liga MX,2012/2013,2012-08-04,01:30,Club Tijuana,UNAM Pumas,1,0,H,2.69,3.17,2.96,2.75,3.25,2.0,0.0,1.0,1.0,1.0,-1.0,0,[0 2 1 2 0],[0 1 0 1 0]
21,Mexico,Liga MX,2012/2013,2012-08-04,23:00,Cruz Azul,Guadalajara Chivas,0,0,D,2.04,3.53,3.98,2.04,3.53,0.0,0.0,1.0,2.0,-1.0,-2.0,1,[1 0 2 1 1],[1 0 2 0 1]
22,Mexico,Liga MX,2012/2013,2012-08-04,23:00,Queretaro,Pachuca,0,1,A,3.58,3.53,2.16,3.58,3.53,0.0,2.0,0.0,0.0,0.0,2.0,2,[2 2 1 2 1],[2 0 0 1 0]
23,Mexico,Liga MX,2012/2013,2012-08-05,01:00,Monterrey,Chiapas,2,1,H,1.54,4.24,7.01,1.6,4.24,0.0,0.0,2.0,4.0,-2.0,-4.0,0,[0 2 2 0 2],[2 0 1 0 0]
24,Mexico,Liga MX,2012/2013,2012-08-05,03:00,Atlas,Tigres UANL,0,0,D,3.12,3.24,2.52,3.25,3.24,1.0,1.0,4.0,0.0,-3.0,1.0,1,[2 1 0 2 0],[0 2 1 0 2]
25,Mexico,Liga MX,2012/2013,2012-08-05,18:00,Toluca,Club Leon,2,1,H,2.83,3.34,2.72,2.88,3.35,2.0,1.0,2.0,0.0,0.0,1.0,0,[2 2 0 2 0],[0 0 1 1 1]
28,Mexico,Liga MX,2012/2013,2012-08-11,02:30,Club Leon,Santos Laguna,3,0,H,2.02,3.71,3.8,2.2,3.71,4.0,0.0,1.0,0.0,3.0,0.0,0,[1 1 2 1 2],[2 0 1 2 2]
29,Mexico,Liga MX,2012/2013,2012-08-11,23:00,Club America,Atlas,1,1,D,1.77,3.82,5.17,1.8,3.82,4.0,2.0,3.0,0.0,1.0,2.0,1,[1 1 2 1 0],[1 2 0 2 0]
30,Mexico,Liga MX,2012/2013,2012-08-12,01:00,Pachuca,Club Tijuana,2,2,D,2.08,3.43,3.96,2.1,3.43,0.0,3.0,0.0,4.0,0.0,-1.0,1,[0 2 0 2 2],[1 1 2 1 1]
31,Mexico,Liga MX,2012/2013,2012-08-12,01:00,Tigres UANL,Queretaro,2,2,D,1.35,5.25,10.6,1.35,5.32,2.0,1.0,0.0,3.0,2.0,-2.0,1,[2 1 0 2 1],[1 2 0 2 0]
32,Mexico,Liga MX,2012/2013,2012-08-12,03:00,Atl. San Luis,Monterrey,1,1,D,3.66,3.57,2.12,3.66,3.7,1.0,2.0,0.0,1.0,1.0,1.0,1,[2 0 1 0 0],[2 0 0 0 0]
33,Mexico,Liga MX,2012/2013,2012-08-12,18:00,Puebla,Cruz Azul,0,1,A,3.07,3.39,2.5,3.07,3.41,1.0,3.0,2.0,1.0,-1.0,2.0,2,[1 1 0 1 2],[0 1 0 2 2]
34,Mexico,Liga MX,2012/2013,2012-08-12,18:00,UNAM Pumas,Toluca,1,2,A,2.06,3.48,3.96,2.1,3.5,3.0,0.0,3.0,1.0,0.0,-1.0,2,[1 0 1 1 0],[1 2 0 2 1]
35,Mexico,Liga MX,2012/2013,2012-08-13,00:00,Guadalajara Chivas,Monarcas,1,1,D,2.74,3.33,2.78,2.74,3.33,0.0,1.0,0.0,0.0,0.0,1.0,1,[0 2 1 0 2],[2 2 1 0 1]
36,Mexico,Liga MX,2012/2013,2012-08-18,01:30,Club Tijuana,Tigres UANL,2,1,H,2.95,3.21,2.67,2.95,3.3,1.5,0.0,2.0,0.0,-0.5,0.0,0,[0 2 0 0 2],[2 1 1 2 2]
37,Mexico,Liga MX,2012/2013,2012-08-18,03:30,Cruz Azul,Club Leon,1,1,D,2.59,3.44,2.88,2.59,3.44,0.0,0.0,1.5,1.0,-1.5,-1.0,1,[2 1 0 2 1],[1 0 2 2 1]
38,Mexico,Liga MX,2012/2013,2012-08-18,03:30,Monarcas,Puebla,3,0,H,1.73,4.07,4.95,1.75,4.07,2.0,1.5,1.0,2.0,1.0,-0.5,0,[0 2 0 1 0],[2 0 2 0 1]
39,Mexico,Liga MX,2012/2013,2012-08-18,23:00,Queretaro,Club America,0,4,A,3.95,3.85,1.95,4.15,3.85,0.0,1.5,1.0,1.0,-1.0,0.5,2,[0 0 1 2 1],[2 1 1 0 0]
41,Mexico,Liga MX,2012/2013,2012-08-19,01:00,Santos Laguna,UNAM Pumas,1,2,A,2.22,3.35,3.62,2.24,3.4,2.0,1.5,0.5,1.0,1.5,0.5,2,[0 0 2 0 1],[0 0 2 2 2]
42,Mexico,Liga MX,2012/2013,2012-08-19,03:00,Atl. San Luis,Guadalajara Chivas,0,1,A,2.87,3.3,2.67,2.91,3.3,1.0,1.5,0.5,1.0,0.5,0.5,2,[2 2 2 0 0],[0 1 0 1 2]
43,Mexico,Liga MX,2012/2013,2012-08-19,03:00,Atlas,Chiapas,1,1,D,2.19,3.43,3.61,2.29,3.43,0.5,0.5,1.5,3.0,-1.0,-2.5,1,[2 1 1 0 2],[2 0 1 2 0]
44,Mexico,Liga MX,2012/2013,2012-08-19,18:00,Toluca,Pachuca,1,0,H,2.33,3.43,3.27,2.36,3.43,2.0,1.0,0.5,0.0,1.5,1.0,0,[0 1 0 2 1],[0 2 0 0 2]
45,Mexico,Liga MX,2012/2013,2012-08-25,01:30,Chiapas,Queretaro,2,1,H,1.58,4.4,6.05,1.7,4.4,0.5,3.0,1.0,2.5,-0.5,0.5,0,[0 0 0 0 1],[0 0 0 1 0]
46,Mexico,Liga MX,2012/2013,2012-08-25,02:30,Club Leon,Monarcas,1,3,A,1.91,3.82,4.17,2.15,3.82,3.5,0.0,0.5,0.5,3.0,-0.5,2,[2 2 0 2 1],[1 2 1 1 2]
47,Mexico,Liga MX,2012/2013,2012-08-25,23:00,Club America,Club Tijuana,0,1,A,1.88,3.67,4.54,1.93,3.75,2.5,1.5,1.0,3.0,1.5,-1.5,2,[1 2 1 1 2],[2 0 2 1 2]
48,Mexico,Liga MX,2012/2013,2012-08-26,01:00,Pachuca,Santos Laguna,0,0,D,2.29,3.58,3.22,2.46,3.58,1.0,2.5,0.5,1.5,0.5,1.0,1,[1 0 2 1 0],[2 2 1 0 0]
49,Mexico,Liga MX,2012/2013,2012-08-26,01:00,Tigres UANL,Toluca,1,1,D,1.93,3.66,4.29,1.95,4.0,2.0,1.5,2.5,1.0,-0.5,0.5,1,[2 2 1 1 0],[2 2 2 2 2]
50,Mexico,Liga MX,2012/2013,2012-08-26,18:00,Puebla,Atl. San Luis,1,0,H,2.71,3.25,2.87,2.74,3.4,0.5,2.0,2.0,2.5,-1.5,-0.5,0,[0 0 1 0 0],[0 0 1 1 0]
51,Mexico,Liga MX,2012/2013,2012-08-26,18:00,UNAM Pumas,Cruz Azul,0,1,A,2.79,3.26,2.76,2.8,3.3,2.0,1.0,1.5,0.5,0.5,0.5,2,[1 2 0 0 2],[1 2 1 2 1]
52,Mexico,Liga MX,2012/2013,2012-08-26,23:00,Guadalajara Chivas,Monterrey,1,2,A,2.54,3.37,2.96,2.63,3.5,0.5,1.0,0.5,1.0,0.0,0.0,2,[0 0 1 1 2],[1 0 2 1 1]
53,Mexico,Liga MX,2012/2013,2012-08-27,00:00,Atlante,Atlas,1,0,H,2.06,3.61,3.81,2.25,3.61,1.0,1.0,2.0,0.5,-1.0,0.5,0,[1 0 1 2 1],[1 2 1 1 1]
54,Mexico,Liga MX,2012/2013,2012-09-01,01:30,Club Tijuana,Chiapas,2,0,H,1.99,3.39,4.38,2.02,3.7,1.6666666666666667,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333335,-2.0,0,[0 2 1 2 2],[0 0 0 1 2]
55,Mexico,Liga MX,2012/2013,2012-09-01,03:30,Monarcas,UNAM Pumas,0,1,A,1.96,3.58,4.23,2.04,3.7,2.3333333333333335,1.0,1.0,1.0,1.3333333333333335,0.0,2,[2 1 1 2 2],[2 0 0 2 0]
56,Mexico,Liga MX,2012/2013,2012-09-01,23:00,Cruz Azul,Pachuca,1,1,D,1.85,3.7,4.69,1.9,3.7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1,[2 1 2 1 2],[0 2 1 0 1]
57,Mexico,Liga MX,2012/2013,2012-09-01,23:00,Queretaro,Atlante,0,1,A,3.58,3.62,2.12,3.58,3.62,0.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,-1.3333333333333333,1.0000000000000002,2,[0 0 1 0 0],[0 1 2 1 2]
58,Mexico,Liga MX,2012/2013,2012-09-02,01:00,Monterrey,Atlas,1,1,D,1.61,4.32,5.82,1.63,4.32,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,-0.33333333333333326,0.0,1,[0 2 1 1 2],[2 1 1 1 0]
59,Mexico,Liga MX,2012/2013,2012-09-02,01:00,Santos Laguna,Tigres UANL,3,1,H,2.94,3.36,2.59,2.94,3.36,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.0,1.0,0,[2 1 0 0 1],[2 1 1 0 1]
60,Mexico,Liga MX,2012/2013,2012-09-02,03:00,Atl. San Luis,Club Leon,0,2,A,3.3,3.65,2.23,3.4,3.74,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,-0.6666666666666666,0.33333333333333326,2,[0 1 1 0 0],[2 0 2 1 0]
61,Mexico,Liga MX,2012/2013,2012-09-02,18:00,Toluca,Club America,1,1,D,2.46,3.55,2.97,2.52,3.55,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,-0.33333333333333326,0.0,1,[2 2 2 2 1],[2 1 1 2 0]
62,Mexico,Liga MX,2012/2013,2012-09-02,23:00,Guadalajara Chivas,Puebla,1,1,D,1.81,3.73,4.86,1.9,3.73,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.0,-1.0000000000000002,1,[0 1 1 2 0],[0 1 0 0 2]
63,Mexico,Liga MX,2012/2013,2012-09-15,01:30,Chiapas,Toluca,2,0,H,2.54,3.38,2.96,2.85,3.45,1.0,2.3333333333333335,2.0,1.0,-1.0,1.3333333333333335,0,[0 0 1 2 0],[2 2 2 1 1]
64,Mexico,Liga MX,2012/2013,2012-09-15,01:30,Pachuca,Monarcas,3,2,H,2.44,3.32,3.18,2.5,3.5,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,-0.6666666666666666,1.0,0,[2 1 0 1 1],[1 1 2 2 0]
65,Mexico,Liga MX,2012/2013,2012-09-15,03:30,Club Leon,Guadalajara Chivas,1,2,A,1.63,4.08,5.97,1.83,4.08,2.6666666666666665,1.0,0.6666666666666666,0.6666666666666666,2.0,0.33333333333333337,2,[0 2 1 0 2],[1 1 2 0 1]
66,Mexico,Liga MX,2012/2013,2012-09-15,23:00,Club America,Santos Laguna,2,0,H,1.82,4.04,4.34,2.04,4.04,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,1.3333333333333335,0.33333333333333326,0,[1 1 2 0 1],[1 0 0 1 2]
67,Mexico,Liga MX,2012/2013,2012-09-16,01:00,Tigres UANL,Cruz Azul,2,0,H,2.18,3.51,3.55,2.2,3.51,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333335,1.0,0,[1 1 0 1 0],[1 2 1 2 1]
68,Mexico,Liga MX,2012/2013,2012-09-16,03:00,Atlas,Queretaro,0,0,D,1.6,4.01,6.59,1.65,4.2,0.6666666666666666,0.6666666666666666,1.0,2.3333333333333335,-0.33333333333333337,-1.666666666666667,1,[1 1 1 0 1],[0 1 0 0 0]
69,Mexico,Liga MX,2012/2013,2012-09-16,18:00,Puebla,Monterrey,2,3,A,4.04,3.45,2.04,4.04,3.46,0.6666666666666666,1.3333333333333333,1.0,1.0,-0.33333333333333337,0.33333333333333326,2,[1 0 0 2 1],[2 1 1 2 1]
70,Mexico,Liga MX,2012/2013,2012-09-16,18:00,UNAM Pumas,Atl. San Luis,0,1,A,1.82,3.74,4.82,1.83,3.74,1.3333333333333333,1.0,1.3333333333333333,2.0,0.0,-1.0,2,[0 0 2 0 2],[1 1 0 0 0]
71,Mexico,Liga MX,2012/2013,2012-09-17,00:00,Atlante,Club Tijuana,1,2,A,2.17,3.36,3.75,2.29,3.4,1.0,0.6666666666666666,1.0,2.0,0.0,-1.3333333333333335,2,[1 2 1 2 2],[2 1 2 2 2]
72,Mexico,Liga MX,2012/2013,2012-09-22,01:30,Puebla,Club Leon,1,1,D,3.67,3.5,2.14,4.2,3.7,1.0,1.75,1.5,0.75,-0.5,1.0,1,[0 0 2 1 0],[2 1 0 2 0]
73,Mexico,Liga MX,2012/2013,2012-09-22,03:30,Monarcas,Tigres UANL,1,1,D,2.4,3.31,3.26,3.07,3.45,1.75,1.0,1.5,1.25,0.25,-0.25,1,[1 2 2 0 0],[1 0 1 0 2]
74,Mexico,Liga MX,2012/2013,2012-09-22,23:00,Cruz Azul,Club America,1,1,D,2.46,3.44,3.05,2.5,3.44,0.5,0.5,1.75,0.75,-1.25,-0.25,1,[2 1 2 1 0],[1 2 0 1 2]
75,Mexico,Liga MX,2012/2013,2012-09-23,01:00,Atl. San Luis,Pachuca,1,0,H,2.74,3.26,2.83,2.75,3.3,0.5,1.5,0.5,0.5,0.0,1.0,0,[1 0 0 0 2],[1 0 1 1 2]
76,Mexico,Liga MX,2012/2013,2012-09-23,01:00,Monterrey,Queretaro,3,2,H,1.38,5.22,9.0,1.38,5.22,1.0,0.75,0.75,1.75,0.25,-1.0,0,[1 1 2 1 2],[1 0 0 0 1]
77,Mexico,Liga MX,2012/2013,2012-09-23,01:00,Santos Laguna,Chiapas,0,0,D,2.0,3.79,3.79,2.02,3.79,2.0,1.5,1.0,2.25,1.0,-0.75,1,[0 0 1 2 0],[0 1 2 0 2]
78,Mexico,Liga MX,2012/2013,2012-09-23,03:30,Club Tijuana,Atlas,1,1,D,1.81,3.72,4.91,1.9,3.8,1.75,0.25,1.25,0.75,0.5,-0.5,1,[1 2 2 2 2],[1 1 0 1 1]
79,Mexico,Liga MX,2012/2013,2012-09-23,18:00,Toluca,Atlante,1,0,H,1.93,3.58,4.41,1.95,3.58,1.5,0.75,1.25,1.0,0.25,-0.25,0,[2 2 1 1 0],[2 1 2 2 0]
80,Mexico,Liga MX,2012/2013,2012-09-23,23:00,Guadalajara Chivas,UNAM Pumas,0,0,D,2.45,3.2,3.28,2.5,3.3,0.75,1.25,1.0,0.75,-0.25,0.5,1,[1 2 0 1 2],[0 2 0 2 0]
81,Mexico,Liga MX,2012/2013,2012-09-29,01:30,Chiapas,Cruz Azul,1,0,H,3.31,3.42,2.31,3.31,3.42,1.25,1.75,1.0,0.75,0.25,1.0,0,[1 2 0 2 1],[1 2 1 0 1]
82,Mexico,Liga MX,2012/2013,2012-09-29,03:30,Club Leon,Monterrey,2,0,H,1.96,3.63,4.17,2.15,3.63,2.25,1.25,1.5,1.25,0.75,0.0,0,[1 0 2 0 1],[1 2 1 2 2]
83,Mexico,Liga MX,2012/2013,2012-09-29,23:00,Club America,Monarcas,1,1,D,2.27,3.45,3.4,2.27,3.51,1.75,1.0,1.5,1.25,0.25,-0.25,1,[2 0 1 2 1],[2 2 0 0 1]
84,Mexico,Liga MX,2012/2013,2012-09-29,23:00,Queretaro,Club Tijuana,0,1,A,3.2,3.32,2.43,3.7,3.35,0.0,2.0,1.25,1.75,-1.25,0.25,2,[0 0 0 1 0],[2 2 2 2 1]
85,Mexico,Liga MX,2012/2013,2012-09-30,01:00,Pachuca,Guadalajara Chivas,1,0,H,2.22,3.29,3.66,2.31,3.3,1.25,1.75,1.0,0.75,0.25,1.0,0,[0 1 1 2 0],[2 0 1 2 1]
86,Mexico,Liga MX,2012/2013,2012-09-30,01:00,Tigres UANL,Atl. San Luis,0,0,D,1.52,4.21,7.64,1.54,4.3,1.75,1.0,1.25,1.5,0.5,-0.5,1,[0 1 0 2 1],[0 0 0 2 2]
87,Mexico,Liga MX,2012/2013,2012-09-30,03:00,Atlas,Toluca,1,3,A,2.91,3.22,2.7,2.91,3.3,0.5,0.5,1.5,1.25,-1.0,-0.75,2,[1 0 1 1 1],[2 1 1 0 2]
88,Mexico,Liga MX,2012/2013,2012-09-30,18:00,UNAM Pumas,Puebla,2,1,H,1.85,3.68,4.62,1.91,3.68,1.0,1.0,0.75,2.0,0.25,-1.0,0,[2 0 2 0 1],[0 2 1 0 1]
89,Mexico,Liga MX,2012/2013,2012-10-01,00:00,Atlante,Santos Laguna,1,3,A,2.63,3.62,2.71,2.77,3.7,1.0,1.0,0.25,1.25,0.75,-0.25,2,[1 2 2 0 0],[0 1 2 0 1]
90,Mexico,Liga MX,2012/2013,2012-10-03,01:00,Guadalajara Chivas,Tigres UANL,2,1,H,3.15,3.28,2.48,3.3,3.35,0.6,1.0,1.4,1.2,-0.7999999999999999,-0.19999999999999996,0,[0 1 2 1 0],[1 0 2 1 1]
91,Mexico,Liga MX,2012/2013,2012-10-03,02:30,Atl. San Luis,Club America,1,2,A,3.83,3.47,2.11,3.83,3.5,0.6,1.2,1.6,0.8,-1.0,0.3999999999999999,2,[0 0 2 2 1],[0 1 2 1 1]
92,Mexico,Liga MX,2012/2013,2012-10-04,01:00,Cruz Azul,Atlante,4,0,H,1.7,3.75,5.82,1.77,3.75,0.6,0.6,1.0,1.0,-0.4,-0.4,0,[2 1 0 1 0],[2 2 0 0 0]
93,Mexico,Liga MX,2012/2013,2012-10-04,01:00,Puebla,Pachuca,2,0,H,3.14,3.24,2.5,3.14,3.3,1.0,1.6,0.4,0.6,0.6,1.0,0,[2 1 0 1 0],[1 1 2 0 2]
94,Mexico,Liga MX,2012/2013,2012-10-04,01:00,Toluca,Queretaro,4,1,H,1.4,4.84,9.4,1.4,5.5,1.4,0.6,1.0,2.0,0.3999999999999999,-1.4,0,[1 1 0 2 2],[0 0 1 0 0]
95,Mexico,Liga MX,2012/2013,2012-10-04,02:00,Santos Laguna,Atlas,2,1,H,1.9,3.63,4.49,1.95,3.63,1.6,1.2,1.2,0.8,0.40000000000000013,0.3999999999999999,0,[1 2 0 1 2],[0 1 1 1 0]
96,Mexico,Liga MX,2012/2013,2012-10-04,02:30,Club Leon,UNAM Pumas,2,1,H,1.61,3.98,6.53,1.7,4.0,2.2,1.0,0.8,0.6,1.4000000000000001,0.4,0,[0 2 0 1 2],[0 2 0 1 2]
97,Mexico,Liga MX,2012/2013,2012-10-04,03:00,Monterrey,Club Tijuana,1,1,D,2.0,3.44,4.21,2.04,3.6,1.4,1.0,1.2,1.4,0.19999999999999996,-0.3999999999999999,1,[2 1 2 2 0],[2 2 2 1 2]
98,Mexico,Liga MX,2012/2013,2012-10-05,02:00,Monarcas,Chiapas,1,1,D,1.82,3.77,4.75,2.0,3.77,1.6,1.0,0.8,1.8,0.8,-0.8,1,[2 0 0 1 1],[2 0 2 1 2]
99,Mexico,Liga MX,2012/2013,2012-10-06,23:00,Club America,Guadalajara Chivas,1,3,A,1.87,3.57,4.72,1.96,3.6,1.6,1.0,0.8,0.8,0.8,0.19999999999999996,2,[1 2 1 1 2],[1 2 1 0 2]
100,Mexico,Liga MX,2012/2013,2012-10-07,01:00,Pachuca,Club Leon,1,1,D,2.75,3.4,2.72,2.75,3.5,1.2,1.4,1.4,0.8,-0.19999999999999996,0.5999999999999999,1,[1 2 0 2 0],[2 0 1 2 2]
101,Mexico,Liga MX,2012/2013,2012-10-07,01:00,Queretaro,Santos Laguna,1,1,D,3.89,3.59,2.04,4.59,3.7,0.0,1.8,0.8,1.2,-0.8,0.6000000000000001,1,[0 1 0 0 0],[2 0 1 2 2]
102,Mexico,Liga MX,2012/2013,2012-10-07,01:00,Tigres UANL,Puebla,1,2,A,1.47,4.65,7.83,1.55,4.65,1.4,0.8,0.8,2.0,0.5999999999999999,-1.2,2,[0 2 1 1 0],[1 0 1 0 2]
103,Mexico,Liga MX,2012/2013,2012-10-07,03:00,Atlas,Cruz Azul,1,1,D,3.56,3.33,2.25,3.56,3.33,0.6,1.0,0.8,0.8,-0.20000000000000007,0.19999999999999996,1,[1 1 1 0 0],[1 0 1 0 2]
104,Mexico,Liga MX,2012/2013,2012-10-07,18:00,UNAM Pumas,Monterrey,3,2,H,2.33,3.27,3.42,2.4,3.35,1.2,1.0,1.2,1.4,0.0,-0.3999999999999999,0,[2 0 1 2 0],[1 2 2 0 1]
105,Mexico,Liga MX,2012/2013,2012-10-07,23:00,Chiapas,Atl. San Luis,4,0,H,1.97,3.65,4.09,2.02,3.65,1.2,1.4,1.0,1.2,0.19999999999999996,0.19999999999999996,0,[0 2 1 2 1],[0 2 2 1 0]
106,Mexico,Liga MX,2012/2013,2012-10-08,00:00,Atlante,Monarcas,2,2,D,3.3,3.28,2.41,3.3,3.4,1.0,1.4,1.4,1.2,-0.3999999999999999,0.19999999999999996,1,[2 0 0 0 0],[0 0 1 1 1]
107,Mexico,Liga MX,2012/2013,2012-10-08,02:00,Club Tijuana,Toluca,1,0,H,2.29,3.4,3.39,2.35,3.45,1.6,0.4,1.8,1.2,-0.19999999999999996,-0.7999999999999999,0,[2 2 1 2 1],[1 0 2 2 2]
108,Mexico,Liga MX,2012/2013,2012-10-13,23:00,Cruz Azul,Queretaro,3,2,H,1.34,5.08,10.42,1.4,5.5,1.4,0.6,1.2,2.2,0.19999999999999996,-1.6,0,[0 1 0 2 1],[1 0 0 0 1]
109,Mexico,Liga MX,2012/2013,2012-10-14,01:00,Atl. San Luis,Atlante,2,2,D,2.7,3.27,2.86,2.71,3.35,0.6,1.2,0.8,1.4,-0.20000000000000007,-0.19999999999999996,1,[2 2 1 0 0],[0 0 0 0 1]
110,Mexico,Liga MX,2012/2013,2012-10-14,01:00,Club Leon,Tigres UANL,2,0,H,1.78,3.73,5.11,1.81,3.8,1.8,1.2,0.8,1.6,1.0,-0.40000000000000013,0,[0 1 2 2 1],[2 1 1 0 0]
111,Mexico,Liga MX,2012/2013,2012-10-14,01:00,Santos Laguna,Club Tijuana,2,2,D,2.47,3.48,3.0,2.47,3.5,1.6,1.2,1.4,0.8,0.20000000000000018,0.3999999999999999,1,[0 1 2 2 1],[2 1 2 1 2]
112,Mexico,Liga MX,2012/2013,2012-10-14,18:00,UNAM Pumas,Pachuca,1,0,H,1.99,3.48,4.3,2.02,3.5,1.2,1.4,0.4,1.0,0.7999999999999999,0.3999999999999999,0,[0 1 2 0 2],[2 0 2 0 1]
113,Mexico,Liga MX,2012/2013,2012-10-14,23:00,Guadalajara Chivas,Chiapas,1,1,D,2.17,3.41,3.67,2.19,3.41,1.0,1.0,0.6,1.2,0.4,-0.19999999999999996,1,[2 1 0 2 2],[2 1 2 1 2]
114,Mexico,Liga MX,2012/2013,2012-10-20,01:30,Chiapas,Puebla,2,0,H,1.71,3.87,5.3,1.8,3.87,2.0,0.6,1.2,1.8,0.8,-1.2000000000000002,0,[1 2 1 2 1],[0 1 0 2 2]
115,Mexico,Liga MX,2012/2013,2012-10-20,03:30,Club Tijuana,Cruz Azul,2,2,D,2.33,3.1,3.64,2.41,3.3,1.4,0.4,0.6,0.8,0.7999999999999999,-0.4,1,[1 2 1 2 1],[1 0 2 1 2]
116,Mexico,Liga MX,2012/2013,2012-10-20,23:00,Club America,Club Leon,2,1,H,2.5,3.57,2.88,2.5,3.6,1.0,1.2,1.2,1.0,-0.19999999999999996,0.19999999999999996,0,[2 1 1 2 0],[1 2 2 1 2]
117,Mexico,Liga MX,2012/2013,2012-10-20,23:00,Queretaro,Monarcas,1,2,A,4.55,3.87,1.83,4.75,3.95,0.2,1.6,1.8,1.6,-1.6,0.0,2,[0 0 0 1 0],[0 1 1 1 1]
118,Mexico,Liga MX,2012/2013,2012-10-21,01:00,Pachuca,Monterrey,1,1,D,2.56,3.3,3.0,2.58,3.4,1.4,1.0,1.6,1.8,-0.20000000000000018,-0.8,1,[0 2 0 1 0],[2 2 0 1 0]
119,Mexico,Liga MX,2012/2013,2012-10-21,01:00,Tigres UANL,UNAM Pumas,5,0,H,1.98,3.37,4.47,2.0,3.6,1.2,1.0,0.8,0.8,0.3999999999999999,0.19999999999999996,0,[1 1 0 0 0],[1 2 0 2 2]
120,Mexico,Liga MX,2012/2013,2012-10-21,03:00,Atlas,Atl. San Luis,2,3,A,1.98,3.46,4.32,2.04,3.5,0.6,1.0,0.8,1.6,-0.20000000000000007,-0.6000000000000001,2,[1 1 0 0 1],[2 1 0 0 1]
121,Mexico,Liga MX,2012/2013,2012-10-21,18:00,Toluca,Santos Laguna,4,1,H,2.06,3.67,3.71,2.11,3.67,1.8,0.6,0.8,1.4,1.0,-0.7999999999999999,0,[0 2 2 2 0],[1 2 2 1 1]
122,Mexico,Liga MX,2012/2013,2012-10-22,00:00,Atlante,Guadalajara Chivas,3,1,H,2.5,3.3,3.1,2.7,3.3,1.4,1.8,1.2,0.6,0.19999999999999996,1.2000000000000002,0,[0 0 0 1 1],[1 0 2 2 1]
123,Mexico,Liga MX,2012/2013,2012-10-24,02:30,Monarcas,Atlas,2,0,H,1.71,3.77,5.72,1.71,4.09,1.6,1.2,0.8,1.2,0.8,0.0,0,[1 1 1 1 2],[1 0 0 1 0]
124,Mexico,Liga MX,2012/2013,2012-10-26,03:00,Puebla,Club America,0,1,A,4.76,3.84,1.8,4.76,3.84,1.2,1.0,2.0,1.0,-0.8,0.0,2,[1 0 2 2 0],[1 1 2 0 2]
125,Mexico,Liga MX,2012/2013,2012-10-27,03:30,Club Leon,Chiapas,4,1,H,1.74,3.99,4.98,1.77,4.15,1.6,1.2,0.6,1.0,1.0,0.19999999999999996,0,[2 2 1 2 0],[2 1 2 1 2]
126,Mexico,Liga MX,2012/2013,2012-10-27,23:00,Atl. San Luis,Queretaro,0,0,D,1.77,3.92,4.84,1.8,4.01,0.8,1.4,1.2,2.4,-0.3999999999999999,-1.0,1,[1 0 0 1 2],[0 0 1 0 0]
127,Mexico,Liga MX,2012/2013,2012-10-27,23:00,Cruz Azul,Toluca,3,0,H,2.34,3.47,3.23,2.34,3.47,2.0,1.0,1.2,1.2,0.8,-0.19999999999999996,0,[0 2 1 2 1],[2 2 2 0 2]
128,Mexico,Liga MX,2012/2013,2012-10-28,01:00,Monarcas,Club Tijuana,1,1,D,2.04,3.62,3.86,2.15,3.7,1.4,0.6,1.4,0.8,0.0,-0.20000000000000007,1,[1 1 1 2 2],[2 1 2 1 1]
129,Mexico,Liga MX,2012/2013,2012-10-28,01:00,Monterrey,Santos Laguna,3,2,H,1.91,3.72,4.26,2.4,4.15,1.6,1.2,1.0,1.6,0.6000000000000001,-0.40000000000000013,0,[2 0 1 0 1],[2 2 1 1 0]
130,Mexico,Liga MX,2012/2013,2012-10-28,01:00,Pachuca,Tigres UANL,1,0,H,3.03,3.2,2.61,3.5,3.5,1.2,0.8,0.8,2.0,0.3999999999999999,-1.2,0,[2 0 1 0 1],[1 0 0 0 2]
131,Mexico,Liga MX,2012/2013,2012-10-28,18:00,Puebla,Atlante,1,2,A,2.78,3.24,2.81,2.89,3.3,1.2,1.0,0.8,1.6,0.3999999999999999,-0.6000000000000001,2,[0 2 2 0 0],[0 0 1 1 2]
